99;Dni powszednie;#EEEEEE
03:56;X5;;
04:28;X6;;
04:36;X5;;
04:56;X5;;
04:56;X7;;
05:22;X6;;
05:37;X5;;
05:33;X7;;
05:53;X8;;
06:13;X8;;
06:17;X6;;
06:33;X8;;
06:53;X8;;
07:13;X8;;
07:33;X8;;
07:53;X8;;
08:00;X8;;
08:16;X8;;
08:36;X8;;
08:56;X8;;
09:16;X8;;
09:36;X8;;
09:56;X8;;
10:16;X8;;
10:36;X8;;
10:56;X8;;
11:16;X8;;
11:36;X8;;
11:56;X8;;
12:16;X8;;
12:36;X8;;
12:56;X8;;
13:16;X8;;
13:36;X8;;
13:53;X8;;
14:13;X8;;
14:33;X8;;
14:53;X8;;
15:13;X8;;
15:33;X8;;
15:53;X8;;
16:13;X8;;
16:33;X8;;
16:53;X8;;
16:58;X8;;
17:16;X8;;
17:36;X8;;
17:56;X8;;
18:16;X8;;
18:36;X8;;
18:56;X8;;
19:16;X8;;
19:36;X7;;
19:56;X7;;
20:16;X7;;
20:43;X7;;
21:05;X9;;
21:13;X7;;
21:43;X7;;
22:13;X7;;
22:21;X9;;
22:51;X10;;
23:21;X10;;
