11;Flagi;Gmina;Nazwa;X5(00:00-29:59)
1;B,P(203);ZTM;Zaspa;0
2;P(2091);ZTM;Kołobrzeska;1
3;P(2093);ZTM;Chłopska - Obrońców Wybrzeża;2
4;P(2095);ZTM;Jagiellońska;2
5;P(2097);ZTM;Piastowska;1
6;P(2099);ZTM;Pomorska;2
7;P(2054);ZTM;Gospody;1
8;P(2052);ZTM;Pomorska - Osiedle;1
9;P(2033),1,I,H;ZTM;Abrahama;
10;P(2035),1,I,H;ZTM;Uniwersytet;
11;P(2037),1,I,H;ZTM;Bażyńskiego;
12;P(2039),1,I,H;ZTM;Tetmajera;
13;P(2041),1,I,H;ZTM;Derdowskiego;
14;P(2043),1,I,H;ZTM;Obrońców Westerplatte;
15;P(2045),1,I,H;ZTM;Oliwa;
16;P(2047),1,I,H;ZTM;Opacka;
17;P(2049),1,I,H;ZTM;Subisława;
18;P(2051),1,I,H;ZTM;Pomorska - Osiedle;
19;P(2100),1,I,H;ZTM;Pomorska;
20;P(2050);ZTM;Subisława;2
21;P(2048);ZTM;Opacka;2
22;P(2046);ZTM;Oliwa;2
23;P(2044);ZTM;Obrońców Westerplatte;1
24;P(2042);ZTM;Derdowskiego;1
25;P(2040);ZTM;Tetmajera;1
26;P(2038);ZTM;Bażyńskiego;1
27;P(2036);ZTM;Uniwersytet;1
28;P(2034);ZTM;Strzyża PKM;
29;P(213),1,I,H;ZTM;Strzyża;2
30;P(2030);ZTM;Zajezdnia;1
31;P(2028);ZTM;Zamenhofa;1
32;P(2026);ZTM;Wojska Polskiego;1
33;P(2024);ZTM;Galeria Bałtycka;2
34;P(2022);ZTM;Klonowa;1
35;P(2020);ZTM;Jaśkowa Dolina;2
36;P(2018);ZTM;Miszewskiego;2
37;P(2016);ZTM;Politechnika;1
38;P(2014);ZTM;Opera Bałtycka;2
39;P(2012);ZTM;Traugutta;2
40;P(2010);ZTM;Uniwersytet Medyczny;1
41;P(2008);ZTM;Chodowieckiego;1
42;P(2006);ZTM;Brama Oliwska;1
43;P(2002);ZTM;Dworzec Główny;2
44;P(2101);ZTM;Brama Wyżynna;2
45;P(2207);ZTM;Śródmieście SKM;2
46;P(2211);ZTM;Pohulanka;2
47;P(2213);ZTM;Odrzańska;1
48;P(2215);ZTM;Chałubińskiego;2
49;P(2217);ZTM;Sikorskiego;1
50;B,N,K0,P(2219);ZTM;Chełm Witosa;1
51;P(2098),1,I,H;ZTM;Piastowska;
52;P(2096),1,I,H;ZTM;Jagiellońska;
53;P(2094),1,I,H;ZTM;Chłopska - Obrońców Wybrzeża;
54;P(2092),1,I,H;ZTM;Kołobrzeska;
55;P(204),1,I,H;ZTM;Zaspa;
56;P(2088),1,I,H;ZTM;Startowa;
57;P(2086),1,I,H;ZTM;Jana Pawła II;
58;P(2084),1,I,H;ZTM;Żwirki i Wigury;
59;P(2082),1,I,H;ZTM;Bajana;
60;P(2080),1,I,H;ZTM;Legionów;
61;P(2078),1,I,H;ZTM;Plac Komorowskiego;
62;P(2076),1,I,H;ZTM;Mickiewicza;
63;P(2074),1,I,H;ZTM;Reja;
64;P(2072),1,I,H;ZTM;Wyspiańskiego;
65;P(2017),1,I,H;ZTM;Politechnika;
66;P(2019),1,I,H;ZTM;Miszewskiego;
67;P(2021),1,I,H;ZTM;Jaśkowa Dolina;
68;P(2023),1,I,H;ZTM;Klonowa;
69;P(2025),1,I,H;ZTM;Galeria Bałtycka;
70;P(2027),1,I,H;ZTM;Wojska Polskiego;
71;P(2029),1,I,H;ZTM;Zamenhofa;
72;P(2031),1,I,H;ZTM;Zajezdnia;
73;B,N,K,P(213),1,I,H;ZTM;Strzyża;
